utc_timestamp,cet_cest_timestamp,FR_load_actual_entsoe_transparency,FR_load_forecast_entsoe_transparency,FR_solar_generation_actual,FR_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,69773,69750,,1464
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,66417,66300,,1543
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,64182,63250,,1579
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,63859,61500,,1482
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,63921,60850,,1387
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,64117,60450,,1583
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,63861,60150,,1814
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,64277,59950,385,1936
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,65100,62000,1053,1927
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,65875,64100,1635,1846
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,67460,66450,1883,1768
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,65706,67250,1857,1715
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,62688,63600,1516,1693
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,60798,60400,911,1697
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,61111,59600,300,1938
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,65620,62750,39,2301
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,69967,68300,0,2672
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,71682,71300,0,3017
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,70462,71150,0,3289
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,68173,69400,0,3496
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,69188,68300,0,3619
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,70135,70350,0,3887
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,67584,69000,0,3971
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,65510,66750,0,4022
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,64522,66250,0,4034
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,61798,64150,0,4223
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,60686,62900,0,4433
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,62060,63350,0,4504
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,64662,66200,0,4490
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,66982,68100,0,4425
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,68828,70600,57,4247
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,70472,72600,331,3843
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,71681,73450,842,3518
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,72248,73350,1271,3270
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,73443,74000,1397,3083
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,71451,73800,1360,2771
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,69123,71050,1119,2381
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,66628,68200,639,2162
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,66234,67000,203,1877
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,69985,70050,36,1692
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,73818,74100,0,1605
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,73971,75800,0,1488
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,70938,73100,0,1367
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,67746,69600,0,1192
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,68455,68450,0,1088
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,69539,70350,0,1038
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,66642,67550,0,1168
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,64227,64400,0,1278
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,62716,63800,0,1376
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,59396,60600,0,1606
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,57700,58950,0,1905
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,58131,59000,0,2182
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,59493,60000,0,2344
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,60986,61650,0,2744
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,62703,63850,52,3217
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,64814,65550,275,3846
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,66427,67900,693,4216
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,67027,68500,1025,4683
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,68498,69700,1183,5302
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,66851,69400,1204,5822
